error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	MIN	2901752	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	927307	Appalachian Trail 0.25 Mi From Clingman'S Dome Overlook.; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=2901752
STATE	100	MIN	423173	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889429	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423173
STATE	100	MIN	423174	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889430	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423174
STATE	100	MIN	423175	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889431	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423175
STATE	100	MIN	423176	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889432	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423176
STATE	100	MIN	423177	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889433	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423177
STATE	100	MIN	423178	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889434	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423178
STATE	100	MIN	423179	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889435	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423179
STATE	100	MIN	423180	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889436	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423180
STATE	100	MIN	423181	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889437	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423181
