herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
ILLS	2710420	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Charlton	2.56	outside_boundary_exact	Georgia, Ware County	30.74978,-82.18789	ILLS00100412	Okefenokee National Wildlife Refuge, Suwannee Canal Recreation Area, Edge of canal between mile marker 3 and 4 on loop	https://lichenportal.org/portal/collections/individual/index.php?occid=2710420	COUNTY	10
ILLS	2710422	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Charlton	2.56	outside_boundary_exact	Georgia, Ware County	30.74978,-82.18789	ILLS00100759	Okefenokee National Wildlife Refuge, Suwannee Canal Recreation Area, Edge of canal between mile marker 3 and 4 on loop	https://lichenportal.org/portal/collections/individual/index.php?occid=2710422	COUNTY	10
ILLS	2710423	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Charlton	2.56	outside_boundary_exact	Georgia, Ware County	30.74978,-82.18789	ILLS00100985	Okefenokee National Wildlife Refuge, Suwannee Canal Recreation Area, Edge of canal between mile marker 3 and 4 on loop	https://lichenportal.org/portal/collections/individual/index.php?occid=2710423	COUNTY	10
ILLS	2710424	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Charlton	2.56	outside_boundary_exact	Georgia, Ware County	30.74978,-82.18789	ILLS00094022	Okefenokee National Wildlife Refuge, Suwannee Canal Recreation Area, Edge of canal between mile marker 3 and 4 on loop	https://lichenportal.org/portal/collections/individual/index.php?occid=2710424	COUNTY	10
GEO	4811984	GEO	NA	Georgia	DeKalb County	2.54	outside_boundary_exact	Georgia, Fulton County	33.726944,-84.376944	17987	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811984	COUNTY	10
LSU	1512192	LSU	Clifford M. Wetmore	Georgia	Charlton	2.5	outside_boundary_exact	Georgia, Ware County	30.747,-82.188	LSU00116153	Okefenokee National Wildlife Refuge. At junction of Suwannee Canal and Cedar Hammock Canal.	https://lichenportal.org/portal/collections/individual/index.php?occid=1512192	COUNTY	10
SBBG	1315527	SBBG	NA	Georgia	Burke	2.03	outside_boundary_exact	Georgia, Richmond County	33.265556,-81.854722	NA	Boggy Gut Creek tract, N of GA spur 56, ca. 3 mi E of GA Hwy 56 at McBean	https://lichenportal.org/portal/collections/individual/index.php?occid=1315527	COUNTY	10
NCU	762314	NCU	Hollinger, Jason P.	Georgia	Columbia	1.97	outside_boundary_exact	Georgia, McDuffie County	33.5425,-82.456389	NCU-L-0001199	Heggie's Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=762314	COUNTY	10
ILLS	2709459	ILLS	J.L. Crane & J.D. Schoknecht	Georgia	Ware	1.85	outside_boundary_exact	Georgia, Charlton County	30.7379,-82.1438	ILLS00100668	Okefenokee National Wildlife Refuge, Suwannee Canal Recreation Area, Suwannee Canal.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709459	COUNTY	10
LSU	1415106	LSU	Clifford M. Wetmore	Georgia	Ware	1.8	outside_boundary_exact	Georgia, Charlton County	30.80505,-82.16684	LSU00141749	OKEFENOKEE NAT. WILDLIFE REFUGE. At north end of Cedar Hammock Canal three miles northwest of boat landing.	https://lichenportal.org/portal/collections/individual/index.php?occid=1415106	COUNTY	10
